user_id,signup_date,platform,country,user_type
50,2025-04-01,Android,Thailand,Returning User
51,2025-01-14,iOS,Indonesia,New User
52,2025-03-28,Web,Indonesia,New User
53,2025-02-18,iOS,Malaysia,Returning User
54,2025-03-13,Android,Indonesia,Returning User
55,2025-05-21,Android,Indonesia,Returning User
56,2025-03-02,Android,Thailand,Returning User
57,2025-04-13,Web,Malaysia,New User
58,2025-04-10,Android,Thailand,New User
59,2025-06-28,Web,Thailand,New User
60,2025-03-17,Android,Indonesia,Returning User
61,2025-05-19,Android,Singapore,New User
62,2025-05-30,Android,Malaysia,New User
63,2025-05-11,Android,Malaysia,New User
64,2025-01-18,iOS,Malaysia,Returning User
65,2025-05-26,Android,Indonesia,Returning User
66,2025-04-18,iOS,Singapore,Returning User
67,2025-02-22,iOS,Singapore,New User
68,2025-04-12,Android,Singapore,Returning User
69,2025-01-19,Android,Indonesia,New User
70,2025-02-24,iOS,Malaysia,Returning User
71,2025-01-18,Web,Singapore,New User
72,2025-04-23,Web,Singapore,Returning User
73,2025-06-17,iOS,Singapore,Returning User
74,2025-01-27,Web,Malaysia,New User
75,2025-01-28,iOS,Malaysia,New User
76,2025-06-04,Android,Singapore,New User
77,2025-06-12,Web,Thailand,New User
78,2025-01-14,Android,Thailand,Returning User
79,2025-01-12,Android,Malaysia,Returning User
80,2025-03-09,Android,Thailand,Returning User
81,2025-04-20,iOS,Indonesia,New User
82,2025-06-26,Web,Indonesia,Returning User
83,2025-05-30,iOS,Thailand,New User
84,2025-03-20,Android,Indonesia,Returning User
85,2025-02-23,iOS,Indonesia,New User
86,2025-05-24,Web,Thailand,Returning User
87,2025-02-09,Web,Malaysia,Returning User
88,2025-02-15,Web,Indonesia,New User
89,2025-03-27,iOS,Thailand,Returning User
90,2025-03-05,Android,Indonesia,New User
91,2025-01-10,Web,Malaysia,New User
92,2025-04-28,Android,Malaysia,New User
93,2025-06-18,Android,Singapore,New User
94,2025-01-18,Web,Singapore,New User
95,2025-05-11,Android,Singapore,Returning User
96,2025-01-30,Web,Singapore,New User
97,2025-03-09,Android,Thailand,New User
98,2025-03-22,Android,Indonesia,New User
99,2025-05-28,Android,Indonesia,Returning User
100,2025-01-01,iOS,Malaysia,New User
101,2025-01-18,Web,Singapore,Returning User
102,2025-06-19,Web,Singapore,Returning User
103,2025-06-20,Android,Thailand,Returning User
104,2025-05-22,Android,Thailand,Returning User
105,2025-04-08,iOS,Malaysia,Returning User
106,2025-03-19,Android,Indonesia,New User
107,2025-02-23,Android,Singapore,Returning User
108,2025-04-24,iOS,Thailand,Returning User
109,2025-02-13,iOS,Singapore,Returning User
110,2025-06-12,iOS,Indonesia,Returning User
111,2025-03-02,iOS,Malaysia,Returning User
112,2025-02-07,Android,Malaysia,Returning User
113,2025-06-06,Web,Indonesia,Returning User
114,2025-06-11,iOS,Thailand,Returning User
115,2025-03-04,Android,Indonesia,Returning User
116,2025-01-28,iOS,Malaysia,New User
117,2025-06-28,iOS,Indonesia,Returning User
118,2025-02-01,Android,Thailand,Returning User
119,2025-05-24,iOS,Thailand,Returning User
120,2025-05-10,Android,Thailand,Returning User
121,2025-05-02,Android,Malaysia,Returning User
122,2025-03-12,iOS,Thailand,Returning User
123,2025-03-12,Android,Singapore,New User
124,2025-03-27,Android,Indonesia,New User
125,2025-03-01,Android,Malaysia,Returning User
126,2025-01-17,Android,Singapore,Returning User
127,2025-04-17,Android,Thailand,New User
128,2025-05-30,Web,Indonesia,Returning User
129,2025-05-28,Android,Indonesia,Returning User
130,2025-03-18,iOS,Thailand,Returning User
131,2025-05-20,iOS,Malaysia,Returning User
132,2025-03-11,Android,Indonesia,New User
133,2025-06-21,iOS,Thailand,Returning User
134,2025-04-30,Web,Indonesia,Returning User
135,2025-06-01,iOS,Indonesia,New User
136,2025-04-20,Android,Thailand,New User
137,2025-03-08,Android,Malaysia,Returning User
138,2025-03-28,iOS,Thailand,New User
139,2025-04-18,Android,Indonesia,Returning User
140,2025-05-19,Android,Singapore,New User
141,2025-01-18,iOS,Indonesia,Returning User
142,2025-03-05,Android,Indonesia,Returning User
143,2025-03-03,Android,Indonesia,Returning User
144,2025-02-25,Android,Singapore,Returning User
145,2025-02-12,iOS,Indonesia,Returning User
146,2025-02-11,Web,Indonesia,Returning User
147,2025-03-21,iOS,Thailand,New User
148,2025-02-20,Android,Malaysia,New User
149,2025-03-19,Web,Indonesia,Returning User
150,2025-05-25,iOS,Singapore,Returning User
151,2025-06-19,Android,Singapore,New User
152,2025-04-18,Web,Indonesia,Returning User
153,2025-04-03,iOS,Thailand,Returning User
154,2025-04-22,Android,Singapore,Returning User
155,2025-05-18,iOS,Thailand,Returning User
156,2025-06-01,Android,Malaysia,Returning User
157,2025-01-23,Android,Thailand,New User
158,2025-04-29,iOS,Thailand,New User
159,2025-05-07,Web,Malaysia,Returning User
160,2025-04-01,iOS,Singapore,New User
161,2025-06-02,iOS,Singapore,Returning User
162,2025-05-13,Web,Indonesia,New User
163,2025-04-15,Android,Malaysia,Returning User
164,2025-06-15,iOS,Thailand,Returning User
165,2025-01-24,Android,Thailand,Returning User
166,2025-03-20,iOS,Singapore,Returning User
167,2025-05-16,Android,Singapore,New User
168,2025-04-27,Android,Singapore,New User
169,2025-02-19,Android,Malaysia,New User
170,2025-05-04,Android,Singapore,Returning User
171,2025-02-19,Android,Singapore,New User
172,2025-01-04,iOS,Malaysia,New User
173,2025-01-14,iOS,Malaysia,Returning User
174,2025-05-06,Android,Indonesia,Returning User
175,2025-05-01,Android,Singapore,New User
176,2025-01-14,Android,Thailand,New User
177,2025-01-17,Android,Indonesia,Returning User
178,2025-06-25,Android,Malaysia,Returning User
179,2025-03-19,Android,Malaysia,New User
180,2025-04-17,iOS,Malaysia,Returning User
181,2025-04-08,Android,Thailand,New User
182,2025-05-31,Web,Singapore,Returning User
183,2025-01-16,iOS,Indonesia,Returning User
184,2025-02-23,iOS,Singapore,Returning User
185,2025-02-10,Android,Indonesia,New User
186,2025-04-15,Android,Thailand,New User
187,2025-03-01,Android,Singapore,Returning User
188,2025-04-27,Android,Malaysia,Returning User
189,2025-06-10,iOS,Malaysia,Returning User
190,2025-05-20,Android,Malaysia,Returning User
191,2025-02-06,Android,Malaysia,Returning User
192,2025-06-02,iOS,Singapore,Returning User
193,2025-04-30,iOS,Thailand,Returning User
194,2025-05-09,iOS,Thailand,New User
195,2025-01-11,Web,Singapore,Returning User
196,2025-01-07,Android,Indonesia,Returning User
197,2025-06-22,Web,Indonesia,Returning User
198,2025-02-14,Android,Thailand,Returning User
199,2025-02-16,Web,Thailand,Returning User
200,2025-05-06,Web,Thailand,New User
201,2025-03-27,Android,Indonesia,Returning User
202,2025-03-26,Android,Thailand,New User
203,2025-04-13,Web,Indonesia,Returning User
204,2025-03-22,Android,Indonesia,Returning User
205,2025-04-14,Web,Indonesia,Returning User
206,2025-05-19,Android,Indonesia,New User
207,2025-04-03,iOS,Thailand,Returning User
208,2025-01-14,Android,Malaysia,Returning User
209,2025-04-23,Web,Thailand,New User
210,2025-06-11,iOS,Malaysia,Returning User
211,2025-03-21,iOS,Thailand,New User
212,2025-01-30,Android,Indonesia,Returning User
213,2025-02-09,Android,Singapore,Returning User
214,2025-03-11,Android,Thailand,Returning User
215,2025-03-04,Android,Malaysia,New User
216,2025-06-03,iOS,Malaysia,Returning User
217,2025-03-12,iOS,Thailand,New User
218,2025-05-10,Android,Indonesia,New User
219,2025-03-18,Web,Thailand,Returning User
220,2025-04-25,iOS,Singapore,New User
221,2025-05-20,Android,Singapore,Returning User
222,2025-06-28,Android,Thailand,New User
223,2025-04-16,Android,Thailand,Returning User
224,2025-04-08,Android,Malaysia,Returning User
225,2025-01-10,Android,Singapore,Returning User
226,2025-04-23,Android,Thailand,New User
227,2025-02-06,Android,Malaysia,New User
228,2025-03-09,Android,Thailand,Returning User
229,2025-03-26,Web,Thailand,Returning User
230,2025-06-10,iOS,Thailand,Returning User
231,2025-01-10,iOS,Malaysia,Returning User
232,2025-03-15,Web,Indonesia,Returning User
233,2025-01-26,iOS,Indonesia,Returning User
234,2025-06-27,Android,Indonesia,New User
235,2025-01-15,Android,Singapore,Returning User
236,2025-03-04,iOS,Malaysia,New User
237,2025-01-21,iOS,Thailand,Returning User
238,2025-03-03,Android,Malaysia,New User
239,2025-06-13,Android,Singapore,Returning User
240,2025-04-30,Web,Malaysia,New User
241,2025-03-30,Web,Singapore,Returning User
242,2025-04-19,iOS,Thailand,Returning User
243,2025-02-20,Web,Thailand,New User
244,2025-04-08,iOS,Singapore,Returning User
245,2025-03-17,Android,Thailand,New User
246,2025-05-25,Web,Indonesia,Returning User
247,2025-05-08,Web,Singapore,Returning User
248,2025-02-28,iOS,Singapore,New User
249,2025-02-18,iOS,Malaysia,Returning User
250,2025-06-10,iOS,Singapore,Returning User
251,2025-01-09,iOS,Malaysia,New User
252,2025-03-17,Android,Thailand,New User
253,2025-02-03,iOS,Singapore,Returning User
254,2025-03-11,Web,Singapore,Returning User
255,2025-05-04,Web,Singapore,Returning User
256,2025-03-28,Web,Thailand,Returning User
257,2025-02-06,iOS,Malaysia,Returning User
258,2025-06-22,Web,Singapore,New User
259,2025-04-12,Android,Indonesia,Returning User
260,2025-06-22,iOS,Singapore,Returning User
261,2025-06-13,Web,Indonesia,Returning User
262,2025-05-01,Android,Singapore,Returning User
263,2025-02-26,iOS,Thailand,Returning User
264,2025-03-19,iOS,Indonesia,New User
265,2025-01-10,Android,Thailand,New User
266,2025-03-02,Web,Malaysia,New User
267,2025-04-05,iOS,Thailand,Returning User
268,2025-02-09,Web,Indonesia,Returning User
269,2025-06-07,Android,Singapore,New User
270,2025-04-05,Android,Thailand,Returning User
271,2025-04-03,Android,Singapore,Returning User
272,2025-06-15,Android,Thailand,New User
273,2025-02-01,Web,Thailand,New User
274,2025-02-24,iOS,Indonesia,New User
275,2025-03-27,Android,Malaysia,Returning User
276,2025-02-22,Android,Malaysia,Returning User
277,2025-03-01,Android,Malaysia,Returning User
278,2025-06-02,Android,Malaysia,Returning User
279,2025-05-19,Android,Malaysia,New User
280,2025-01-07,Android,Singapore,Returning User
281,2025-03-02,iOS,Indonesia,New User
282,2025-01-14,Android,Thailand,Returning User
283,2025-01-17,Android,Singapore,Returning User
284,2025-01-28,Android,Malaysia,Returning User
285,2025-01-12,iOS,Singapore,Returning User
286,2025-01-08,Android,Thailand,Returning User
287,2025-04-20,iOS,Thailand,Returning User
288,2025-04-24,Android,Indonesia,New User
289,2025-02-07,Android,Singapore,Returning User
290,2025-05-30,iOS,Singapore,New User
291,2025-06-02,iOS,Thailand,Returning User
292,2025-04-21,Android,Indonesia,Returning User
293,2025-06-16,Web,Malaysia,Returning User
294,2025-02-28,Android,Thailand,New User
295,2025-01-25,Android,Singapore,Returning User
296,2025-04-06,Web,Thailand,New User
297,2025-01-22,Android,Indonesia,Returning User
298,2025-04-06,Web,Indonesia,Returning User
299,2025-05-24,iOS,Indonesia,Returning User
300,2025-06-20,Web,Thailand,Returning User
301,2025-01-14,Web,Singapore,New User
302,2025-05-28,iOS,Malaysia,Returning User
303,2025-02-27,Web,Singapore,Returning User
304,2025-04-05,Android,Singapore,Returning User
305,2025-04-20,Web,Indonesia,Returning User
306,2025-06-18,Web,Singapore,New User
307,2025-03-11,iOS,Singapore,Returning User
308,2025-03-31,Android,Malaysia,Returning User
309,2025-04-13,Android,Indonesia,New User
310,2025-05-16,Android,Thailand,Returning User
311,2025-02-10,Android,Singapore,Returning User
312,2025-05-26,iOS,Indonesia,New User
313,2025-06-08,Android,Indonesia,New User
314,2025-06-19,Android,Thailand,Returning User
315,2025-02-25,iOS,Indonesia,New User
316,2025-01-29,Android,Thailand,Returning User
317,2025-03-20,Android,Thailand,Returning User
318,2025-01-15,Android,Singapore,Returning User
319,2025-02-05,iOS,Singapore,New User
320,2025-01-02,Android,Thailand,New User
321,2025-04-08,iOS,Malaysia,Returning User
322,2025-06-21,Web,Indonesia,New User
323,2025-01-11,Android,Thailand,Returning User
324,2025-03-22,iOS,Thailand,Returning User
325,2025-04-17,Android,Thailand,New User
326,2025-03-25,Android,Thailand,Returning User
327,2025-04-03,Android,Indonesia,New User
328,2025-05-31,Android,Indonesia,New User
329,2025-03-21,iOS,Malaysia,New User
330,2025-02-13,Android,Indonesia,Returning User
331,2025-02-19,Web,Singapore,New User
332,2025-06-15,Web,Malaysia,New User
333,2025-03-07,Android,Malaysia,Returning User
334,2025-06-17,Android,Thailand,Returning User
335,2025-05-25,iOS,Thailand,Returning User
336,2025-05-25,iOS,Singapore,Returning User
337,2025-06-10,Android,Thailand,New User
338,2025-04-24,iOS,Singapore,Returning User
339,2025-04-01,iOS,Singapore,Returning User
340,2025-01-10,Android,Singapore,New User
341,2025-01-24,iOS,Thailand,Returning User
342,2025-05-22,Web,Indonesia,Returning User
343,2025-05-27,iOS,Singapore,Returning User
344,2025-05-09,Android,Indonesia,Returning User
345,2025-03-29,Web,Indonesia,Returning User
346,2025-02-14,Android,Thailand,Returning User
347,2025-05-15,iOS,Malaysia,New User
348,2025-03-14,Android,Singapore,Returning User
349,2025-01-14,iOS,Singapore,New User
350,2025-01-25,iOS,Thailand,New User
351,2025-06-18,Web,Malaysia,New User
352,2025-05-30,iOS,Singapore,New User
353,2025-06-17,iOS,Thailand,New User
354,2025-01-22,Android,Thailand,Returning User
355,2025-03-26,Web,Indonesia,Returning User
356,2025-04-19,iOS,Indonesia,New User
357,2025-02-16,Web,Singapore,Returning User
358,2025-05-05,Android,Malaysia,New User
359,2025-03-17,Web,Indonesia,Returning User
360,2025-05-19,Web,Indonesia,Returning User
361,2025-06-08,Android,Thailand,New User
362,2025-02-16,Web,Malaysia,Returning User
363,2025-01-12,Android,Malaysia,Returning User
364,2025-06-06,Android,Thailand,New User
365,2025-03-03,Android,Thailand,Returning User
366,2025-02-19,Android,Thailand,Returning User
367,2025-03-14,iOS,Thailand,Returning User
368,2025-02-21,Web,Malaysia,Returning User
369,2025-01-14,iOS,Singapore,Returning User
370,2025-01-27,iOS,Indonesia,New User
371,2025-02-11,Android,Malaysia,Returning User
372,2025-01-24,Web,Malaysia,Returning User
373,2025-03-31,Web,Thailand,New User
374,2025-05-09,Android,Thailand,Returning User
375,2025-04-06,Android,Singapore,Returning User
376,2025-06-16,Android,Malaysia,New User
377,2025-03-15,Web,Thailand,Returning User
378,2025-02-05,iOS,Thailand,Returning User
379,2025-01-02,Web,Indonesia,New User
380,2025-02-08,iOS,Thailand,New User
381,2025-03-15,Android,Indonesia,New User
382,2025-04-18,iOS,Thailand,New User
383,2025-05-08,iOS,Indonesia,Returning User
384,2025-05-28,Android,Malaysia,New User
385,2025-01-01,iOS,Malaysia,Returning User
386,2025-02-17,iOS,Indonesia,Returning User
387,2025-04-03,Android,Indonesia,New User
388,2025-05-01,Android,Thailand,Returning User
389,2025-03-06,iOS,Singapore,Returning User
390,2025-03-30,Android,Indonesia,Returning User
391,2025-03-27,Android,Singapore,Returning User
392,2025-06-14,Android,Thailand,Returning User
393,2025-05-03,iOS,Malaysia,New User
394,2025-04-28,Android,Malaysia,New User
395,2025-02-21,Web,Singapore,Returning User
396,2025-05-12,Android,Thailand,New User
397,2025-06-15,Android,Singapore,Returning User
398,2025-01-13,Web,Singapore,New User
399,2025-04-05,Android,Thailand,Returning User
400,2025-04-09,Android,Malaysia,Returning User
401,2025-05-08,Android,Singapore,Returning User
402,2025-04-19,Android,Malaysia,Returning User
403,2025-03-24,Android,Singapore,Returning User
404,2025-03-20,Android,Thailand,New User
405,2025-04-24,Android,Indonesia,Returning User
406,2025-04-01,iOS,Thailand,New User
407,2025-01-15,Android,Thailand,New User
408,2025-06-23,Android,Indonesia,New User
409,2025-06-05,iOS,Thailand,New User
410,2025-01-18,Android,Singapore,New User
411,2025-05-26,Android,Malaysia,Returning User
412,2025-04-05,Android,Indonesia,Returning User
413,2025-05-16,Android,Singapore,Returning User
414,2025-03-05,Web,Indonesia,Returning User
415,2025-05-08,iOS,Indonesia,New User
416,2025-03-08,iOS,Malaysia,Returning User
417,2025-03-15,iOS,Thailand,New User
418,2025-02-04,Web,Thailand,New User
419,2025-04-24,Web,Singapore,Returning User
420,2025-01-17,iOS,Singapore,Returning User
421,2025-02-10,iOS,Malaysia,Returning User
422,2025-05-11,Android,Malaysia,Returning User
423,2025-03-02,iOS,Indonesia,New User
424,2025-05-27,Android,Malaysia,Returning User
425,2025-01-23,Android,Thailand,Returning User
426,2025-05-03,iOS,Thailand,Returning User
427,2025-01-19,Android,Singapore,Returning User
428,2025-04-26,Android,Singapore,New User
429,2025-05-22,iOS,Malaysia,Returning User
430,2025-02-03,Android,Indonesia,Returning User
431,2025-05-13,Android,Malaysia,New User
432,2025-02-27,Android,Singapore,Returning User
433,2025-03-06,Android,Singapore,New User
434,2025-03-19,iOS,Indonesia,Returning User
435,2025-02-13,iOS,Malaysia,New User
436,2025-06-09,iOS,Singapore,Returning User
437,2025-05-25,Android,Indonesia,New User
438,2025-06-14,iOS,Singapore,Returning User
439,2025-05-27,Android,Indonesia,Returning User
440,2025-06-10,iOS,Singapore,Returning User
441,2025-06-25,Android,Thailand,New User
442,2025-01-16,Android,Thailand,Returning User
443,2025-02-22,Android,Malaysia,New User
444,2025-03-23,iOS,Singapore,Returning User
445,2025-02-03,iOS,Indonesia,New User
446,2025-04-30,Android,Thailand,New User
447,2025-01-25,Android,Thailand,Returning User
448,2025-04-18,Android,Malaysia,Returning User
449,2025-05-28,iOS,Malaysia,Returning User
450,2025-05-08,Web,Thailand,Returning User
451,2025-03-20,Android,Indonesia,Returning User
452,2025-05-10,Android,Malaysia,New User
453,2025-04-01,Android,Singapore,Returning User
454,2025-06-17,iOS,Singapore,Returning User
455,2025-01-28,Android,Singapore,Returning User
456,2025-04-14,Android,Thailand,New User
457,2025-05-24,Android,Singapore,New User
458,2025-05-10,Android,Singapore,Returning User
459,2025-06-09,iOS,Indonesia,New User
460,2025-01-25,Android,Singapore,Returning User
461,2025-04-04,iOS,Malaysia,Returning User
462,2025-04-13,iOS,Indonesia,New User
463,2025-03-27,Web,Thailand,New User
464,2025-05-12,Android,Singapore,New User
465,2025-06-07,iOS,Singapore,Returning User
466,2025-05-10,Web,Thailand,Returning User
467,2025-03-18,Android,Indonesia,New User
468,2025-06-22,Android,Thailand,Returning User
469,2025-06-26,iOS,Thailand,New User
470,2025-06-17,iOS,Malaysia,Returning User
471,2025-05-30,Android,Thailand,New User
472,2025-06-24,Android,Indonesia,New User
473,2025-04-23,Android,Malaysia,Returning User
474,2025-02-22,Android,Thailand,Returning User
475,2025-01-16,iOS,Malaysia,Returning User
476,2025-06-19,Android,Thailand,New User
477,2025-02-14,Android,Singapore,Returning User
478,2025-06-23,iOS,Singapore,Returning User
479,2025-02-19,Web,Singapore,Returning User
480,2025-02-27,Web,Singapore,Returning User
481,2025-06-30,Android,Thailand,New User
482,2025-03-31,iOS,Singapore,New User
483,2025-05-27,iOS,Thailand,Returning User
484,2025-04-12,Web,Malaysia,New User
485,2025-03-15,Web,Indonesia,New User
486,2025-04-24,iOS,Thailand,New User
487,2025-05-18,Android,Singapore,New User
488,2025-06-07,iOS,Malaysia,New User
489,2025-06-21,Web,Malaysia,Returning User
490,2025-01-14,Android,Singapore,Returning User
491,2025-01-26,iOS,Malaysia,New User
492,2025-05-21,Web,Malaysia,Returning User
493,2025-05-02,Android,Malaysia,Returning User
494,2025-03-15,Android,Indonesia,Returning User
495,2025-01-23,iOS,Malaysia,Returning User
496,2025-01-10,Web,Malaysia,Returning User
497,2025-02-15,Web,Indonesia,Returning User
498,2025-04-12,iOS,Malaysia,Returning User
499,2025-03-16,Web,Indonesia,New User
500,2025-06-04,Android,Singapore,New User
501,2025-06-14,iOS,Thailand,Returning User
502,2025-02-04,Web,Thailand,New User
503,2025-01-29,Android,Thailand,Returning User
504,2025-02-17,Android,Singapore,Returning User
505,2025-05-26,iOS,Malaysia,New User
506,2025-06-13,Web,Thailand,Returning User
507,2025-01-23,Android,Indonesia,New User
508,2025-02-05,Android,Malaysia,New User
509,2025-04-09,Android,Singapore,Returning User
510,2025-03-19,iOS,Indonesia,New User
511,2025-04-03,iOS,Indonesia,Returning User
512,2025-04-30,Android,Thailand,Returning User
513,2025-06-30,iOS,Indonesia,Returning User
514,2025-03-17,Android,Malaysia,New User
515,2025-02-04,Android,Thailand,Returning User
516,2025-06-05,Android,Thailand,Returning User
517,2025-06-20,Web,Malaysia,Returning User
518,2025-06-02,Web,Indonesia,Returning User
519,2025-05-16,iOS,Indonesia,Returning User
520,2025-01-29,Android,Malaysia,Returning User
521,2025-02-08,Android,Thailand,New User
522,2025-02-22,iOS,Thailand,New User
523,2025-05-11,Android,Indonesia,Returning User
524,2025-05-12,Android,Indonesia,Returning User
525,2025-06-22,Web,Indonesia,New User
526,2025-01-01,iOS,Indonesia,New User
527,2025-03-30,iOS,Indonesia,Returning User
528,2025-01-18,Web,Thailand,New User
529,2025-04-15,Android,Malaysia,Returning User
530,2025-06-15,Web,Singapore,Returning User
531,2025-04-08,Android,Thailand,New User
532,2025-06-24,Web,Malaysia,Returning User
533,2025-03-31,Android,Thailand,Returning User
534,2025-02-27,Web,Indonesia,Returning User
535,2025-04-29,iOS,Thailand,Returning User
536,2025-02-28,Android,Singapore,New User
537,2025-02-18,Web,Indonesia,New User
538,2025-06-19,Android,Indonesia,New User
539,2025-01-18,Android,Indonesia,Returning User
540,2025-06-22,iOS,Indonesia,New User
541,2025-01-12,Android,Malaysia,Returning User
542,2025-01-15,Android,Singapore,New User
543,2025-05-28,Android,Singapore,New User
544,2025-02-06,Web,Malaysia,Returning User
545,2025-03-12,Android,Malaysia,Returning User
546,2025-04-20,iOS,Indonesia,Returning User
547,2025-06-14,iOS,Singapore,Returning User
548,2025-04-15,Android,Thailand,New User
549,2025-05-18,Android,Malaysia,New User
550,2025-02-06,Web,Indonesia,Returning User
551,2025-04-17,iOS,Malaysia,New User
552,2025-03-07,Android,Indonesia,Returning User
553,2025-04-05,Android,Malaysia,New User
554,2025-04-07,iOS,Indonesia,Returning User
555,2025-02-18,Web,Malaysia,Returning User
556,2025-03-27,Android,Indonesia,New User
557,2025-02-18,Web,Indonesia,Returning User
558,2025-05-03,Web,Malaysia,New User
559,2025-03-03,iOS,Singapore,New User
560,2025-05-17,iOS,Singapore,New User
561,2025-05-12,Web,Thailand,New User
562,2025-05-01,iOS,Singapore,Returning User
563,2025-04-05,Android,Indonesia,Returning User
564,2025-02-26,iOS,Indonesia,New User
565,2025-05-30,iOS,Thailand,New User
566,2025-02-20,Android,Thailand,Returning User
567,2025-03-04,Android,Singapore,New User
568,2025-05-06,Web,Thailand,Returning User
569,2025-04-01,Android,Thailand,New User
570,2025-05-19,Web,Indonesia,Returning User
571,2025-01-20,Web,Indonesia,Returning User
572,2025-04-16,Android,Malaysia,New User
573,2025-02-08,Android,Thailand,New User
574,2025-06-08,iOS,Thailand,Returning User
575,2025-01-05,Android,Thailand,New User
576,2025-05-16,iOS,Singapore,New User
577,2025-06-28,iOS,Malaysia,New User
578,2025-01-25,iOS,Malaysia,New User
579,2025-05-15,Android,Singapore,New User
580,2025-04-12,Android,Thailand,Returning User
581,2025-03-04,Web,Malaysia,New User
582,2025-01-21,iOS,Indonesia,New User
583,2025-04-08,Android,Thailand,New User
584,2025-01-03,iOS,Indonesia,Returning User
585,2025-04-22,iOS,Singapore,Returning User
586,2025-01-25,Web,Indonesia,New User
587,2025-06-27,Web,Thailand,New User
588,2025-01-20,iOS,Singapore,Returning User
589,2025-05-25,iOS,Malaysia,Returning User
590,2025-03-22,Android,Malaysia,Returning User
591,2025-04-12,Web,Singapore,New User
592,2025-03-03,iOS,Thailand,Returning User
593,2025-05-19,Android,Malaysia,Returning User
594,2025-06-26,iOS,Singapore,New User
595,2025-04-22,Android,Indonesia,New User
596,2025-06-07,Web,Thailand,Returning User
597,2025-03-25,Android,Singapore,Returning User
598,2025-04-26,Android,Singapore,Returning User
599,2025-04-07,Android,Thailand,New User
600,2025-06-08,Android,Malaysia,Returning User
601,2025-01-22,Android,Thailand,Returning User
602,2025-06-12,Android,Thailand,New User
603,2025-01-28,Android,Singapore,Returning User
604,2025-03-11,Android,Indonesia,New User
605,2025-04-25,iOS,Thailand,New User
606,2025-01-23,Android,Indonesia,Returning User
607,2025-03-25,Web,Indonesia,New User
608,2025-04-10,iOS,Malaysia,Returning User
609,2025-02-13,iOS,Malaysia,New User
610,2025-03-19,Android,Malaysia,New User
611,2025-04-22,Android,Singapore,Returning User
612,2025-01-20,Android,Malaysia,Returning User
613,2025-05-07,iOS,Malaysia,Returning User
614,2025-02-04,Android,Thailand,New User
615,2025-06-08,Android,Singapore,Returning User
616,2025-04-21,Web,Malaysia,New User
617,2025-06-04,Web,Malaysia,Returning User
618,2025-02-15,Web,Singapore,New User
619,2025-06-27,iOS,Malaysia,New User
620,2025-03-13,Web,Thailand,New User
621,2025-05-25,Android,Malaysia,Returning User
622,2025-05-21,Android,Thailand,Returning User
623,2025-02-23,Android,Singapore,Returning User
624,2025-01-18,Web,Thailand,Returning User
625,2025-02-05,iOS,Malaysia,New User
626,2025-02-09,iOS,Thailand,New User
627,2025-06-03,Android,Thailand,Returning User
628,2025-06-27,Android,Indonesia,Returning User
629,2025-04-03,iOS,Indonesia,New User
630,2025-03-05,iOS,Singapore,New User
631,2025-06-06,Android,Thailand,Returning User
632,2025-03-26,Web,Thailand,New User
633,2025-01-26,Android,Malaysia,Returning User
634,2025-04-11,Android,Malaysia,New User
